//@辣叶摧秋:换手机，明大义！//@血色军刀999:危难时刻现同胞情！	未
运城赶集现场实拍！饼子麻花热油糕，凉粉扯面羊肉泡，馋死个人！	未
运城车主请注意！油价又要变！四连跌	未
运城辅警撞亡9岁女孩，最新进展情况曝光...（视频）	未
运城辅警撞亡9岁女孩，现在最新进展情况...	未
运城辅警撞亡9岁女孩，现在最新进展情况...（视频）	未
运城辅警无证驾驶撞人案，内幕来了！	未
运城这3个县有福了！城际铁路从你门口过！你知道在哪吗	未
运城这3兄弟火大了！谁认识	未
运城这3兄弟犯罪团伙，谁认识警方发布悬赏通告！	未
运城这个小区强制收取物业费，不交物业就不给通暖！快看看是哪里	未
运城这个小区收的停车费既然是这么产生的	未
运城这怂人真坏！连这黑心事都能干得出来！	未
运城退役军人各县信息采集地点公布，相互转告！	未
运城！重污染天气来临！橙色预警启动！减排措施出台！	未
运城闹市区发生车祸！司机开车连撞3名行人，司机已经被警察控制	未
运城闹市区撞人事件，呼吁广大车主，为了孩子快看！	未
运城闹市区撞人事件，呼吁广大车主，请为运城小学初中的孩子们看看这条信息！	未
运城随手拍临猗县北景乡上庄村口通信杆倾斜，影响行人安全	未
运城随手拍你看这个快递，像不像那些年坐过的黑车	未
运城随手拍关于万荣县南薛朝村危墙问题的回复	未
运城随手拍关于工农西街佰客隆商场门口占用人行盲道做停车场问题的回复	未
运城随手拍关于运城某十字路口一金店门口乱占停车位问题的回复	未
运城随手拍又是套路！支持专柜验货背后藏猫腻	未
运城随手拍工农西街佰客隆商场占用人行盲道做停车场，已被相关部门处理！	未
运城随手拍注意！收到这条10086短信千万别信！	未
运城随手拍用手机付钱的注意了，现在看还不晚，对你很重要	未
运城随手拍稷山县丰喜路和108交叉口通信井盖塌陷	未
运城随手拍运城东星巷口，餐车是否占道经营，相关部门已介入调查处理！	未
运城随手拍运城东星时代商场巷口，这些餐车是否占道经营	未
运城随手拍运城安邑西这个村，大量焚烧垃圾影响环境	未
运城随手拍运城工农西街佰客隆商场，门口占用人行盲道做停车场！	未
运城随手拍运城火车站八一二巷下水道井盖塌陷，请有关部门赶紧处理！	未
运城随手拍运城火车站八一二巷有一下水道井盖塌陷	未
运城随手拍运城这个小学变压器老化和连接家属楼的线路老化	未
运城随手拍运城这个幼儿园门前一井盖丢失	未
运城随手拍运城这个村，大量焚烧垃圾影响环境	未
运城随手拍运城这里变压器老化和连接家属楼的线路老化，希望有关部门可以解决。	未
运城麦可鑫蛋糕公司，被电视台曝光！运城人快看！	未
运宝黄河大桥正在办理通车手续，12月底通车！	未
运有90只生猪的外省车辆冲卡逃避检查，被三明高速交警成功拦截！	未
运气的那一刻起，我就知道你不是个平凡的人 微博视频	未
@运河边的你，看看全球规划专家7天“英雄会”讨论的事	未
运漕NEWS中央电视台（CCTV）来运漕	未
运漕NEWS偷狗者，往哪跑！	未
运漕NEWS枇杷胸第五次进局子，6小时审讯实录	未
运漕news青年！请不要回乡创业	未
运漕古镇薛氏垄坊	未
运漕院子起鸡皮疙瘩的建筑	未
运漕院子轴测图	未
运用以上6条简单粗暴的法则，你的人生会减少90的麻烦！	未
运用以上6条简单粗暴的法则，你的人生会减少90的麻烦！ 每日笑话微博	未
运用大数据分析揪出犯罪分子（图）	未
运管便衣执法，领导当面向滴哥道歉	未
运管局带队围堵出租车：政府不想给你们确权就不给你们确	未
运管站副站长垄断36条公交线路 打砸出租车收保费	未
运营人朋友圈图鉴，你的朋友圈有没有中招	未
运营君@成都地铁运营 来科普一下呢	未
运营商的互金打法：翼支付加码商户200亿 联通增资消金10亿	未
运营恢复信息：11号线目前，11号线车门故障已排除，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：1号线目前，1号线信号设备故障已排除，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：1号线目前，1号线车门故障已排除，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：2号线目前，2号线线路设备故障已排除，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：2号线目前，2号线车辆故障已排除，全线运营逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：2号线目前，2号线进入线路的人员已出清线路，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：8号线目前，8号线供电故障已排除，全线运营正在逐步恢复中，给您出行带来的不便，敬请谅解！	未
运营恢复信息：9号线目前，9号线车辆故障已排除，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：浦江线目前，浦江线线路设备故障已排除，全线运营正在逐步恢复中，给您出行带来不便，敬请谅解！	未
运营恢复信息：浦江线目前，浦江线车辆故障已排除，全线运营逐步恢复中，给您出行带来不便，敬请谅解！	未
运营方解释：以后冲刺递国旗这种传统将继续下去，并将进一步培训递国旗的志愿者。	未
运营通告滨海微服务 乘客朋友们请注意，轻轨IC卡储值票限时退卡工作即将结束。请持有轻轨IC卡储值票的乘客务必于2018年12月31日前，到津滨轻轨9号线中山门东侧（B厅）站厅客服中心办理退卡业务。2018年12月31日后，将不再办理轻轨IC卡储值票退卡业务。	未
运蟹货车高速上自燃 4000斤螃蟹被烤熟“香气四溢”	未
运行29年的惠州大桥毛病多，被认定为不合格！	未
运行中的电流互感器为何不能开路 开路会有啥后果	未
运行措施汽轮机疏水系统运行有关规定	未
运费4！	未
运载6700吨的煤船遇险下沉 如皋海事人员通宵施救	未
运输危化品车辆引燃！张家口化工厂附近爆炸事故初步调查结果公布！	未
运输市场大洗牌并不遥远，水陆空铁的多式联运已进入黄金期	未
运输时间节约一半！蓉欧东盟铁海联运班列加密至天天班去年11月，蓉欧东盟国际铁海联运班列首发，所运输32车64个标箱的钛白粉元明粉都来自成都周边的兄弟市州，这批货物主要出口到越南科威特以色列孟加拉国等国，从工厂出货到送达目的港全程运输时间约20天，较原来江海联运的运输方式节约了一半左右的时间。如今，这条从成都通往东南亚中东地区的国际铁海联运班列已经从年初的每周1列逐步加密至天天班，班列开行总数接近250列，班列运输的货物主要是成都本地的汽车配件医药产品以及周边市州的普通	未
运输车暂时上不来 战士爬山路背菜	未
运送内脏的货车发生交通意外，你们感受一下现场	未
运送炸药货车坡路上发生侧滑  承德交警奋战六小时恢复交通	未
运钞车意外撒钱运钞车意外撒出百元大钞 过路司机纷纷停车捡钱引发多起车祸13日上午8点30分左右，一辆运钞车在美国新泽西州的东卢瑟福3号公路路附近，不慎撒出现金目击者称，现场现金到处乱飞，沿途路过的司机纷纷刹车，停下拾捡掉在道路上的百元大钞，引发多起车祸，导致交通混乱警方 ...全文	未
运钞车意外撒钱运钞车意外撒出百元大钞 过路司机纷纷停车捡钱引发多起车祸13日上午8点30分左右，一辆运钞车在美国新泽西州的东卢瑟福3号公路路附近，不慎撒出现金。目击者称，现场现金到处乱飞，沿途路过的司机纷纷刹车，停下拾捡掉在道路上的百元大钞，引发多起车祸，导致交通混乱。警方表示，目前他们正在审计损失了多少钱。运钞车意外撒出百元大钞 过路司机纷纷停车捡钱引发多起车祸	未
运钞车撒出百元大钞 过路司机纷纷停车捡钱酿车祸据美媒报道，当地时间周四，一辆运钞车在美国新泽西州的东卢瑟福3号公路接近17号公路附近不慎撒出现金，沿途路过的司机纷纷刹车，停下拾捡掉在道路上的百元大钞，引发多起车祸，导致交通混乱警方表示，现场的混乱引发了多起车祸，至少有一辆车撞击 ...全文	未
运钞车撒出百元大钞 过路司机纷纷停车捡钱酿车祸据美媒报道，当地时间周四，一辆运钞车在美国新泽西州的东卢瑟福3号公路接近17号公路附近不慎撒出现金，沿途路过的司机纷纷刹车，停下拾捡掉在道路上的百元大钞，引发多起车祸，导致交通混乱。警方表示，现场的混乱引发了多起车祸，至少有一辆车撞击路肩，导致车辆前部损毁安全气囊释放。我们不知道他们损失了多少钱。警方表示，他们正在进行审计。目前，调查人员正在调查并询问有关事件信息。运钞车撒出百元大钞 过路司机纷纷停车捡钱酿车祸	未
运鸡车“对对碰”！鸡群公路“闲庭信步”(图)	未
近1000万人找ofo退押金 网友：这辈子排过最长的队了今日下午5点过，微博网友晒出的截图就显示，排队人数已经来到了960多万。而且，线上退押金人数仍在火速上升中。这960万人如果按每人99元的押金来算，总额超过9.5亿元若按照199元押金来算，则这笔押金总额超19亿元。近一千万人排队，到 ...全文	未
近1000万元！这是日照一企业花在2018年公益上的钱！	未
近100个国家为此交钱，中国小伙......	未
近100个国家为此交钱，中国小伙.....	未
近100家媒体不远千里来到温州瑞安，只为这个问题寻求答案	未
近11年时间，作案529次，冒领3587万元，这位基层股长是怎么做到的	未
近150家美国行业协会敦促白宫解决对华贸易争端	未
近1800件古波斯文物即将由美国归还给伊朗	未
近2000个成语接龙，环环相扣。	未
近200斤的雅马哈就这样被徒手扛走了 / 上海今起重点整治擅装涡轮改排气 车坛头条12.01	未
近20家房企符合企业债发行条件，开发商融资又开口子？	未
近300箱劣质烟花存放在木质房里，宛如定时炸弹，12人被抓	未
近30年来，江苏各城市的GDP排名变化，先看一下1953年以来江苏省区划发展：1953年1月，苏北苏南行署区及南京市三个省级行政区合并，江苏省辖6个省辖市（南京无锡徐州常州苏州南通），8个专区（徐州淮阴盐城扬州镇江苏州松江南通），69个县，6个县级市1958年3月至1959年 ...全文	未
近500家北京服装厂沧州再出发	未
近50名记者，到邹平实地采访，拍下这些视频！	未
近52亿元中央冬春救灾资金下拨	未
近5万员工！中国旅游集团招法语等这7个语种人才	未
近5年246万农民工获得法律援助机构法援服务	未
近5年，阳江这类型的交通事故251起，造成269人死亡！公安集中开展整治...	未
近7年来南京6.62万人退出低保 低保人数减半	未
近一吨外地冻猪肉运到莆田被查获，现场视频！	未
近万人在这一刻默哀	未
近万元摩托停在福安一小区里不翼而飞，原来是因为	未
近三成中小学生睡眠不足8小时报告称29.26中小学生睡眠不足8小时就被叫醒《2018年中小学生减负调查报告》提到，仅有23.99的学生可以睡到自然醒，而由闹钟或他人叫醒的学生比例高达76.01，还有29.26的学生睡眠不足8小时就被闹钟或他人叫醒。根据调查，近四成的家长认为孩子的学业负担重随着年级增长，反映负担重的学生比例也持续增加，该比例在学生升入二年级后，直线跳升至40左右。除了校内的学习任务，来自校外的学习负担也不容小觑。报告显示，在调查样本中仅有38的学生没有报	未
近三成电子坐便器质量差  标称四季沐歌欧路莎等5个不达标	未
近三百人受骗！内江文英街这家健身房老板卷巨款人间蒸发...	未
近两天珠海公交到不了港珠澳大桥巴士站了！不看你可能上不了车	未
近乡情不怯，游子报春晖！	未
近了，菏泽高铁！	未
近五成农民工没有意愿落户城镇 农村土地成影响因素	未
近代四川地方政府行使权力，必须依靠“秘密”的袍哥	未
近代学界的“李清照再嫁”之争	未
近代第一悍匪单挑37名特警，击伤11人，致5人牺牲	未
近八成企业缴费基数不合格，史上最严社保惩戒行动来袭（华夏时报）不过，针对该惩戒办法，也有专家表示，当前经济环境下，特别是困难企业的首要目标是活下去，皮之不存，毛将焉附为此建议，要针对不同企业区别对待，不能一刀切就此，董登新表示，如果区别对待，就会存在政策套利或权力腐 ...全文	未
近几天刷遍武宁各大群的一张压力照片，真像是	未
近几天，大家都在谈基因编辑婴儿，我们还是先来谈谈关于艾滋病的那些事吧！	未
近几天我有件大事要跟大家伙儿交代放心，我没自建实验室干什么惊天地泣鬼神的事出来就是我个人的一点事本来也不想说的，但是就怕你们听说了后说我不厚道，都不跟你们说正在琢磨怎么说	未
近十个赛季的西甲用球。	未
近千件档案资料首次公开 揭秘南京长江大桥那些事	未
近千名冬泳爱好者冒严寒横渡长江	未
近千家企业进驻深圳湾七大产业园据深圳市国资委消息，地处粤港澳大湾区核心地带的深圳湾园区，深圳湾科技生态园软件产业基地创投大厦等七大产业园区已基本建成，并动态引进近1000家深圳创新型企业高成长企业，其中软件产业基地3年累计实现产值超1000亿元，截至目前园区内上市公司48家，其中16家在入园后实现上市目标。上证指数 sh000001	未
近千莱州人齐聚朗湖国际，就连央视大伽也来了	未
近半数手机App隐私条款不达标，有你常用的吗？	未
近君子远小人，笑对生活！	未
近大远小 铁塔上竟有蜘蛛侠高高的铁塔角钢上几点黑影，近看趴在上的是一群电力施工人员。9月14日，@国网东平县供电公司 220千伏龙崮变电站外，施工人员对220千伏进线末端塔加紧施工。由于铁塔高大，远处望铁塔根本看不清有无人，要想找到他们还真要有好眼力呢。	未
近１５０家美国行业协会敦促白宫解决对华贸易争端	未
近年末，确保安全收关12月24日，常州供电公司变电检修室赶往220千伏吕墅变对吕河线开展检修工作。临近年末，正值平安夜，电网人丝毫没有放松，依旧一步一步履行着我们应尽的职责，为家家户户保平安。	未
近年来查获的最大一起！！一旅客携上百条香烟入境厦门被截！塞满行李箱和手提包！	未
近年来，海南航空在重庆相继开通重庆至罗马洛杉矶纽约洲际直飞航班及重庆至芝加哥多伦多波士顿西雅图洲际串飞航线。重庆直飞巴黎航线作为海南航空在重庆开通的第八条洲际航线。	未
近日，160万太康人都在关注她	未
近日，4A Games通过官方脸书公布了《地铁：离去》的新实机截图，展示了三名游戏角色，以及玩家将在游戏中遭遇到的一些怪物。这三名游戏角色分别是技术人员Tokarev，侦察专家Alyosha和火车专家Yermak。而公布的怪物截图主要是老鼠和狼的变异体。《地铁：离去》将在2019年2月15日发售，登陆PC/PS4/Xbox One平台。	未
近日，C罗经纪人门德斯在接受采访时表示，C罗早在今年1月份就告知他想为尤文图斯效力：克里斯蒂亚诺是历史上最佳球员，这桩交易的功劳不在我，而是尤文和阿涅利主席的，他们决定带走克里斯蒂亚诺。尤文想要他，他们买下了他，他在1月已经告诉我他想为尤文图斯效力，这是事实。	未
近日Faker大魔王直播的时候又展现了他瓜皮的一面，使用螃蟹故意害死了自己的队友，队友反手一个问号：李相赫你怎么回事Faker这样也不是一天两天了，以前玩游戏就非常的调皮，还经常在排位中调戏对手。	未
近日，一位南方城市的房东在北方各大报纸刊登了一系列拉仇恨的信息。如：北方人，你在寒风里追公交，我在沙滩上舔雪糕此信息引发北方人不服，决定这个冬天去南方实地考察！南方房东登报拉仇恨	未
近日，一位网友在Twitter上分享自己在飞机上的奇遇：当一名空乘人员询问乘客是否需要饮料时，他邻座一名男子脱口而出：给我个靠窗的位子。空乘人员离开不久便回到男子身边，把一张纸粘贴到男子座位旁机舱壁上。纸上不过寥寥数笔，黑色矩形边框代表窗户，内部用蓝笔简单勾勒出两朵云，云下数条曲线代表大海。这则推文引发网民热议，不少人称赞空乘人员机智。	未
近日，一则G3京台高速公路复线宿州至固镇段工程环境影响评价已经启动的消息在网上引起关注。据悉，该项目已经进入预可研报告编制阶段，预计将于2019年完成前期工作。作为安徽省重点建设项目，该项目目前已列入安徽省十三五高速公路网规划，正由省交通控股集团组织开展前期工作。项目的建设对于完善区域高速公路网络，充分发挥高速公路网的规模效益具有重大意义，项目建成后对沿线宿州市埇桥区灵璧县及蚌埠市固镇县区域社会经济发展具有重要的推动作用。据悉，该项目全线按双向四车道高速公路标准建设。推荐方案起点设枢纽互通与泗宿高	未
近日，一名26岁的法国华裔男子，计划从德国经由俄罗斯前往中国，他试图携带87万欧元的纸币机场的警察发现了他的一个手提箱中装有10个夹带现金的书籍包裹，在随后的询问中，相关人员确认了该男子还有另一个手提箱，箱中装有5个夹带现金的书籍包裹，金额共计22万3960欧元此外，该男子的钱包里还装有 ...全文	未
近日，一名26岁的法国华裔男子，计划从德国经由俄罗斯前往中国，他试图携带87万欧元的纸币。机场的警察发现了他的一个手提箱中装有10个夹带现金的书籍包裹，在随后的询问中，相关人员确认了该男子还有另一个手提箱，箱中装有5个夹带现金的书籍包裹，金额共计22万3960欧元。此外，该男子的钱包里还装有超过6千欧元的现金。由于这名男子在离开德国时，不仅没有向海关正确申报金额，还试图隐藏现金，当局对他提起了行政诉讼。	未
近日，一名26岁的法国华裔男子，计划从德国经由俄罗斯前往中国，他试图携带87万欧元的纸币。机场的警察发现了他的一个手提箱中装有10个夹带现金的书籍包裹，在随后的询问中，相关人员确认了该男子还有另一个手提箱，箱中装有5个夹带现金的书籍包裹，金额共计22万3960欧元。此外，该男子的钱包里还装有超过6千欧元的现金。由于这名男子在离开德国时，不仅没有向海关正确申报金额，还试图隐藏现金，当局对他提起了行政诉讼。图文见水印	未
近日，一宝马车主在绍兴不幸身亡！	未
近日，一条疯传远安各大群悬赏50万寻找孩子的真相太荒唐！母亲被刑拘！	未
近日，一段新郎为躲避朋友恶整而被宝马车撞倒的视频在朋友圈热传。据现场目击者介绍，遭遇车祸后的新郎仅穿着一条短裤躺在地上，身上还沾满了被好友恶搞留下的墨汁。事发后新郎已被立即送往医院抢救，而现场一片混乱，再不见嬉笑欢闹声你对婚闹有什么看法	未
近日，一莱西市民发了一张人民医院就医照片，问了这样一个问题！	未
近日，一辆电瓶车在经过兰博路时，驾驶员随身携带的背包不慎掉落，包内存放的数十张百元大钞漫天飞舞。清洁工杨阿姨看见后拾金不昧，一一捡回钞票，并在民警的帮助下，送还给失主！优倍为好人点赞 和@光明乳业 一起为这位拾金不昧的杨阿姨点赞吧！ 网页链接	未
近日，三大运营商（联通电信移动）已获得全国范围5G中低频段试验频率使用许可。美国越遏制我们，我们就越要更加快脚步。	未
近日，两名来自北欧的女背包客，被发现陈尸在摩洛哥著名旅游地图卜卡勒峰附近帐篷内，颈部有锐器割喉伤痕，遭人斩首当局证实，目前已经逮捕1名涉案男子，但详细案情仍有待调查。	未
近日，中国承建的沙特麦麦铁路正式建成啦。沙特国内沙漠众多，麦麦铁路全长480公里，其中360公里为沙漠地带，高铁建设难度极大，而且还会对高铁上的设备造成侵蚀。麦麦铁路的建成，标志着我国高铁技术进一步升级。有网友评论：这项目只有中国敢接！油油想说：有油油全面的润滑保护，再大的风沙侵蚀都不是事儿！	未
近日，中国第一个私人火箭生产基地开始运营 该公司的TQ-12火箭发动机和ZQ 2液体推进剂运载火箭将于2019年在基地开始生产。由TQ-12驱动的ZQ 2计划于2020年投入使用。据该公司称，它将从2022年开始生产约15枚ZQ 2火箭和200枚TQ-2发动机。军事集结号微博视频	未
近日会东这些地方要停电，赶快收藏一波	未
近日做客一档电台节目时，库里表示他不相信人类曾经登上过月球。在节目中库里说：我们真的登月过吗众人：没有吧。库里：我也觉得没有。	未
近日，公共信用查询一体机在泗洪县政务服务中心正式投入使用，泗洪县公共信用查询业务实现不见面办理。随着个人信用信息查询报告的应用范围越来越广，信用信息报告人工查询的工作强度及局限性越来越大，为深入推进放管服改革工作，缓解人工查询压力，给广大人民群众提供便捷高效的政务服务， ...全文	未
近日，前国足主帅米卢接受了中国媒体的采访，在回忆起与昔日弟子的一场活动时，米卢打趣道：对的，我记得不过我最好的球员是鹿晗，人们来到现场都是为了看他的体育V势力米卢 鹿晗	未
近日，南京南站南广场和高铁大厦已经竣工，形似重峦叠石的高铁大厦，将引进商业和做办公之用广场地下直通站内和地铁，非常便利目前，南广场的出租车如何上下客等管理措施还在布局中不久后，南广场将人流涌动，成为集铁路枢纽公交地铁换乘高档商场餐饮展示等多功能为一体的现代化智能 ...全文	未
近日，南京大屠杀幸存者赵金华陈广顺去世至此，今年已有20位幸存者永远离开，他们没能见证第五个南京大屠杀死难者国家公祭日目前登记在册的幸存者已不足百人，时光无情流逝，记忆从未消失转发，铭记历史，珍爱和平！ @人民日报	未
近日，南充市领导来阆中暗访，做了这些事...	未
近日！又一注射剂修改说明书，儿童慎用	未
近日台湾海峡3次地震！这片云居然刷屏了	未
近日，商洛这个地方上空惊现航测无人机，原来是...	未
近日因配餐部门对有关疫情防御措施理解有误，计划暂停机上餐食的猪肉供应目前厦航猪肉餐食正常供应	未
近日国外一段警察抓小偷的视频爆红！	未
近日在徐闻县文塔路附近 速破一宗运输毒品案	未
近日，在海南打工的44岁湖北农民工罗平波被一辆摩托车撞成重伤。他的妻子徐木英背负巨债，全力救治丈夫。然而，历经两次大手术后，医生判定他100脑死亡。悲痛的徐木英听说捐器官可以拯救他人生命时，决定捐献丈夫的心脏肝肾等器官，15岁的儿子也很支持妈妈的决定。罗平波所捐器官最终挽救了4个人的生命。致敬，送别！	未
近日，天水一家生产麻辣条的小作坊被查	未
近日，央视曝光了中国空军苏35训练细节，战斗力生成周期将大大缩短！从这次报道来看，我军已经完成了苏-35与国产地面保障车辆配合使用的加改装项目，简化了保障体系。军事集结号微博视频	未
近日，宁波胡先生气愤地向记者反映，他遇到了一件极其郁闷的事儿，自己名下一辆价值百万的玛莎拉蒂总裁轿车，原本一直停在宁波江北洪塘一家商业广场外的空地上。12月15日晚上，打算去移车的他突然发现，车被人拆解得只剩下一个空壳，四个轮胎轮毂和车牌统统不见，车窗被砸了一个大窟窿，车里的车载电视音响等也被尽数挖走。	未
近日，宜宾一些区县已经出现假的交警罚单，提醒大家在处理罚单过程中，不要立即扫码，而是通过官方网站APP查询或去窗口处理。切记，切记。详情戳：网页链接	未
近日，广安一晚上逮到10个酒鬼	未
近日，总院交通岗二市小交通岗中心岗拍到...	未
近日，房县军店镇辖区内有群众报警，称在军马铺镇有人跌落路边河沟。民警迅速到达现场，下沟合力将老人救助上路面。经了解老人贾某是军店人，因走亲戚中午饮了点酒，骑车回家路上不胜酒力落入沟中，民警联系上贾某的家人后将其安全送回，并对贾某进行了一番批评教育。警方提醒： 饮酒后驾驶电瓶车与机动车一样具有一定的危险性，极易发生交通事故。开车不喝酒，喝酒不开车需牢记于心！	未
近日推出的PlayStation Classic 复刻游戏机被玩家发现其中还有36个隐藏的游戏，例如托尼霍克职业滑板2古墓丽影古惑狼GTA2山脊赛车寂静岭等都存放在系统中，但都无法使用这36个游戏的文件可以在系统的源代码中看到虽然这些游戏文件的合法性尚未得到确认，但自推出以来， ...全文	未
近日收到邻水义工九月发来衣物需求信息：邻水西天乡的朱国民家庭人口较多，父亲生病，妻子智障，不能做家务和农活，大儿子有智障，另外两个孩子正在上学，借住在邻水亲戚家，最小的孩子两岁左右，一家人生活全靠朱国民做散工的收入养活，家庭十分贫困，目前极需棉被和成人儿童冬衣及其它生活物资 ...全文	未
近日有一则调查称90后人均负债超12万，是月收入的18.5倍，很多人不禁感慨现在的年轻人真敢穷！为什么年轻人之间会产生这种过度消费的现象是诱惑太多吗还是经济发展的必然现象微博赚钱季  为什么年轻人这么敢穷?	未
近日，有人发现在县城边上竟可直接穿越到苏州园林	未
近日，有关部门检查了崖口海鲜和煲仔饭，结果发现	未
近日，有消息称部分影视工作室陆续接到税务部门通知，补税工作正式实施，工作室需要按2016至2018年三年总收入的70按个人劳务计算税款刚刚，@中国电视剧编剧委员会 发微博，称会长刘和平副会长汪海林结合当前形势及几位副会长和广大编剧的意见前往广电总局与国家税务总局相关领导进行会谈，关于 ...全文	未
近日有港媒曝张柏芝产第三胎，孩子父亲一度成为热议话题。至12月2日，香港作家Bonnie在网上晒出和好友张柏芝的合影，并在采访中称是海边偶遇。如果刚生完宝宝是不可能在海边吹风的，这也使得张柏芝生三胎的谣言不攻自破。	未
近日朋友圈转发的孩子究竟是不是李泽宇别再传了！李泽宇已失踪27天，姐姐直播找弟弟！	未
近日，朋友圈都在对着苹果手机说潮汕话	未
近日，朋友圈都在用苹果手机说潮汕话，过粗！	未
近日，武警甘肃总队嘉峪关片区组织开展魔鬼周极限训练。最低气温降到零下25摄氏度，特战队员们顶着风雪，冒着严寒挑战极限。[加油]@军营摄影 （侯崇慧/摄）V影像力 大美甘肃	未
近日，民政部依法对永恒慈善基金会增爱公益基金会分别作出警告的行政处罚。经查，永恒慈善基金会2016年度存在公益事业支出比例为7.97，未公布内部管理制度项目资金使用情况关联方关系及关联交易情况，以及2015年度工作报告全文摘要的行为，违反相关法律规定。增爱公益基金会2016年度存在公益事业支出比例为1.96，未公布关联方关系及关联交易情况的行为，违反相关法律规定。民政部对永恒慈善基金会增爱公益基金会作出行政处罚	未
近日油管也给小公主送小礼物了，收礼物收到手软	未
近日，浙江杭州绕城西线发生车祸，一辆大货车与前方车辆追尾，车头严重变形，有人员被困。一位大姐被救出后，光着脚，惊魂未定，消防员便脱下鞋子让给大姐，自己则光着脚继续救援。当时室外温度接近冰点这暖心的一幕，被记录救援过程的镜头拍了下来	未
近日，浙江金华浦江县人民医院，护士长戴葱慧巡房时，看见一小女孩蹲在病床边写作业，便蹲下身，手把手辅导起来。据了解，女孩的奶奶生病住院，她想念奶奶就跟着来到医院。	未
近日，湖北省十堰市郧阳区柳陂镇派出所接到报警电话，报案称在山里采药发现一荒废小屋内关有一名光着身子的智障残疾男人，屋内臭气熏天怕是有些日子了，怀疑有人抓来智障残疾人白干活。经现场调查该男性智障残疾人名叫向俊，其父母就在下面400米处租住的房子里。向俊的父亲今年61岁，老家是竹山县擂鼓镇擂鼓村人，家里有三个孩子，老大和老三是女儿，只有1990年2月出生的老二向俊是个儿子。可不幸的是，在向俊一岁的时候，不慎从1米多高的坎子上摔来下来，将脑子摔坏了。经多家医院检查，钱花了不少可慢慢长大的儿子双眼失明，至今也不	未
近日，演员毛俊杰突然发布了一条微博，痛斥海关工作人员，称其带着宝宝和老人在过关检查时受到了刁难，立即引起了大家的关注，但是随后，有相关海关人员出来回应，表示已经调取监控，从查验开始到结束，一共耗时9分钟，打脸其1小时的说法，该相关人员称，期间该女演员牢骚抱怨现场关员，之后还在禁止拍照区域拍照，现场关员让其删除，嘴上答应转头就发了微博，直指其两面三刀，该知情网友还称原本要晒出完整监控的，但是怕对方说侵犯隐就作罢，现在公说公有理，婆说婆有理，具体情况或许还是得看监控公布，也就一目了然。所以说，公众人物发微博	未
近日潮汕某地大老热，网红包公又要火	未
近日甘肃省委政法委书记调整 今年已有7省份政法委书记履新	未
近日，由中国航天科工航天建设所属航天建筑设计研究院有限公司设计的quot成都新机场四川航空公司基地工程机务维修区工程项目双机位宽体定检机库quot顺利通过了全国超限高层建筑抗震设防审查，航天建设大跨度空间结构又一力作即将呈现。作为中国航天原装配套润滑油，油油也会更加努力的！	未
近日疯传微信群的红包，真相很可能是这样的！	未
近日网络上曝光了一款从未见过的Nike Kyrie 5新配色。详情请见：网页链接	未
近日，罗平52名出租车司机一起做了这件事...	未
近日，美国一位母亲带着5岁的女儿搭乘西南航空公司的航班，从加州飞往德州因为女儿患有癫痫病，所以母女俩可以优先登机但在办理登机手续的过程中，西南航空公司的一名工作人员看到登机牌上小女孩的名叫Abcde时，开始嘲笑，还和其他工作人员议论纷纷之后还将小女孩的登机牌拍照上传到了社交媒 ...全文	未
近日，美国宾夕法尼亚州的一名女司机把车开到了火车轨道上，附近警车迅速赶到现场调查，所幸当时并没有火车经过，未造成危险事故发生但这名女子表示：自己是跟着GPS指示路线开车，才开到了铁轨上警察以女子粗心驾驶为由给她开了罚单，并将车拖走	未
近日美国著名的媒体公布了2019年名人堂提名名单，包括了：昌西-比卢普斯凯文-约翰逊蒂尼-博格斯乔治-卡尔马库斯-坎比悉尼-蒙克利夫马克-伊顿鲁迪-汤姆贾诺维奇理查德-汉密尔顿本-华莱士贝基-哈蒙克里斯-韦伯蒂姆-哈达威杰伊-赖特。	未
近日，美媒统计了詹姆斯生涯至今赚取的金钱数额。生涯至今，包括打球以及场外，LBJ已经赚得7.65亿美元。值得一提的是，老詹与耐克的终身合同总金额超过10亿，但目前他还没拿到全部的数额。	未
近日艺人刘德华 旗下的映艺剧团被卷入欺诈传闻，有多名男子面戴口罩现身香港街头，有的举着刘德华（映艺公司）还我血汗钱横幅，有的举着立牌控诉映艺公司无德无信。有路人上前询问这些挂横幅举立牌的男子关于刘德华涉嫌欺诈的事情时，对方却丝毫不理睬没有回应，对此，记者联络华仔公司了解，对方暂未回复。	未
近日，英国警方侦办以克某普为首的大型宰鹅犯罪集团，已抓获包括克某普在内的团队成员，经调查，克某普对犯罪行为供认不讳。穆里尼奥下课	未
